book	chapter	verse	anchor	references
Gen	1	30	Maar aan al die diere van die aarde en al die voëls van die hemel en al die kruipende diere op die aarde, waarin ’n lewende siel is	Gen 9:3|Job 39:1-3|Job 39:7, 11, 33|Job 40:10, 15|Ps 104:14|Ps 145:15-16|Ps 147:9
Gen	1	31	baie goed	Job 38:7|Ps 19:1-3|Ps 104:24, 31|Klaagl 3:38|1 Tim 4:4
Gen	1	31	En dit was	Gen 1:5, 8, 13, 19, 23|Gen 2:2|Eks 20:11
Gen	2	1	SO is dan voltooi	Gen 2:4|Gen 1:1, 10|Eks 20:11|Eks 31:17|2 Kon 19:15|2 Kron 2:12|Neh 9:6|Job 12:9|Ps 89:12-14|Ps 104:2|Ps 136:5-8|Ps 146:6|Jes 42:5|Jes 45:18|Jes 48:13|Jes 55:9|Jes 65:17|Jer 10:12, 16|Sag 12:1|Hand 4:24|Heb 4:3
Gen	2	1	leërmag	Deut 4:19|Deut 17:3|2 Kon 21:3-5|Ps 33:6, 9|Jes 34:4|Jes 40:26-28|Jes 45:12|Jer 8:2|Luk 2:13|Hand 7:42
Gen	2	2	op die sewende dag	Gen 1:31|Eks 20:11|Eks 23:12|Eks 31:17|Deut 5:14|Jes 58:13|Joh 5:17|Heb 4:4
Gen	2	3	geseën	Eks 16:22-30|Eks 20:8-11|Eks 23:12|Eks 31:13-17|Eks 34:21|Eks 35:2-3|Lev 23:3|Lev 25:2-3|Deut 5:12-14|Neh 9:14|Neh 13:15-22|Spr 10:22|Jes 56:2-7|Jes 58:13-14|Jer 17:21-27|Eseg 20:12|Mark 2:27|Luk 23:56|Heb 4:4-10
Gen	2	4	die geskiedenis	Gen 1:4|Gen 5:1|Gen 10:1|Gen 11:10|Gen 25:12, 19|Gen 36:1, 9|Eks 6:15|Job 38:28|Ps 90:1-2
Gen	2	4	HERE	Eks 15:3|1 Kon 18:39|2 Kron 20:6|Ps 18:32|Ps 86:10|Jes 44:6|Opb 1:4, 8|Opb 11:17|Opb 16:5
Gen	2	5	struike	Gen 1:12|Ps 104:14
Gen	2	5	het nog nie laat reën	Job 5:10|Job 38:26-28|Ps 65:10-12|Ps 135:7|Jer 14:22|Matt 5:45|Heb 6:7
Gen	2	5	te bewerk	Gen 3:23|Gen 4:2, 12
Gen	2	7	die mens geformeer	Ps 100:3|Ps 139:14-15|Jes 64:8
Gen	2	7	stof van die aarde	Gen 3:19, 23|Job 4:19|Job 33:6|Ps 103:14|Pred 3:7, 20|Pred 12:7|Jes 64:8|Rom 9:20|1 Kor 15:47|2 Kor 4:7|2 Kor 5:1
Gen	2	7	die asem van die lewe geblaas	Job 27:3|Job 33:4|Joh 20:22|Hand 17:25
Gen	2	7	in sy neus	Gen 7:22|Pred 3:21|Jes 2:22
Gen	2	7	’n lewende siel	Num 16:22|Num 27:16|Spr 20:27|Sag 12:1|1 Kor 15:45|Heb 12:9
Gen	2	8	’n tuin	Gen 13:10|Eseg 28:13|Eseg 31:8-9|Joel 2:3
