book	chapter	verse	anchor	references
Gn	2	2	Le septième jour,	Gn 1:31|Ex 20:11|Ex 23:12|Ex 31:17|Dt 5:14|Es 58:13|Jn 5:17|He 4:4
Gn	2	3	bénit	Ex 16:22-30|Ex 20:8-11|Ex 23:12|Ex 31:13-17|Ex 34:21|Ex 35:2-3|Lv 23:3|Lv 25:2-3|Dt 5:12-14|Ne 9:14|Ne 13:15-22|Pr 10:22|Es 56:2-7|Es 58:13-14|Jr 17:21-27|Ez 20:12|Mc 2:27|Lc 23:56|He 4:4-10
Gn	2	4	l'histoire	Gn 1:4|Gn 5:1|Gn 10:1|Gn 11:10|Gn 25:12,19|Gn 36:1,9|Ex 6:16|Jb 38:28|Ps 90:1-2
Gn	2	5	l'Eternel	Ex 15:3|1 Rs 18:39|2 Ch 20:6|Ps 18:32|Ps 86:10|Es 44:6|Ap 1:4,8|Ap 11:17|Ap 16:5
Gn	2	5	arbuste	Gn 1:12|Ps 104:14
Gn	2	5	n'avait pas fait pleuvoir	Jb 5:10|Jb 38:26-28|Ps 65:10-12|Ps 135:7|Jr 14:22|Mt 5:45|He 6:7
Gn	2	5	pour cultiver	Gn 3:23|Gn 4:2,12
Gn	2	7	façonna l'homme	Ps 100:3|Ps 139:14-15|Es 64:7
Gn	2	7	la poussière	Gn 3:19,23|Jb 4:19|Jb 33:6|Ps 103:14|Ec 3:7,20|Ec 12:7|Es 64:7|Rm 9:20|1 Co 15:47|2 Co 4:7|2 Co 5:1
Gn	2	7	insuffla	Jb 27:3|Jb 33:4|Jn 20:22|Ac 17:25
Gn	2	7	narines	Gn 7:22|Ec 3:21|Es 2:22
Gn	2	7	un être vivant	Nb 16:22|Nb 27:16|Pr 20:27|Za 12:1|1 Co 15:45|He 12:9
Gn	2	8	un jardin	Gn 13:10|Ez 28:13|Ez 31:8-9|Jl 2:3
Gn	2	8	du côté de l'est	Gn 3:24|Gn 4:16|2 Rs 19:12|Ez 27:23|Ez 31:16,18
Gn	2	9	des arbres de toute sorte	Ez 31:8-9,16,18
Gn	2	9	l'arbre de la vie	Gn 3:22|Pr 3:18|Pr 11:30|Ez 47:12|Jn 6:48|Ap 2:7|Ap 22:2,14
Gn	2	9	l'arbre de la connaissance du bien et du mal	Pr 3:5,7|Gn 2:17|Gn 3:3,22|Dt 6:25|Es 44:25|Es 47:10|1 Co 8:1
Gn	2	10	Un fleuve	Ps 46:5|Ap 22:1
Gn	2	11	Havila	Gn 10:7,29|Gn 25:18|1 Sam 15:7
Gn	2	12	bdellium	Nb 11:7
Gn	2	12	d'onyx	Ex 28:20|Ex 39:13|Jb 28:16|Ez 28:13
Gn	2	13	Cush	Gn 10:6|Es 11:11
Gn	2	14	Tigre	Dn 10:4
Gn	2	14	à l'est de	Gn 10:11,22|Gn 25:18
Gn	2	14	l'Euphrate	Gn 15:18|Dt 1:7|Dt 11:24|Ap 9:14
Gn	2	15	l'homme	Gn 2:2|Jb 31:33
Gn	2	15	plaça	Gn 2:8|Ps 128:2|Ep 4:28
Gn	2	16	Dieu	1 Sam 15:22
Gn	2	16	Tu pourras manger	Gn 2:9|Gn 3:1-2|1 Tm 4:4|1 Tm 6:17
Gn	2	17	l'arbre	Gn 2:9|Gn 3:1-3,11,17,19
Gn	2	17	tu mourras, c'est certain	Gn 3:3-4,19|Gn 20:7|Nb 26:65|Dt 27:26|1 Sam 14:39,44|1 Sam 20:31|1 Sam 22:16|1 Rs 2:37,42|Jr 26:8|Ez 3:18-20|Ez 18:4,13,32|Ez 33:8,14|Rm 1:32|Rm 5:12-21|Rm 6:16,23|Rm 7:10-13|Rm 8:2|1 Co 15:22,56|Ga 3:10|Ep 2:1-6|Ep 5:14|Col 2:13|1 Tm 5:6|Jc 1:15|1 Jn 5:16|Ap 2:11|Ap 20:6,14|Ap 21:8
Gn	2	18	bon	Gn 1:31|Gn 3:12|Rt 3:1|Pr 18:22|Ec 4:9-12|1 Co 7:36
Gn	2	18	Je lui ferai	Gn 3:12|1 Co 11:7-12|1 Tm 2:11-13|1 Pi 3:7
Gn	2	19	à partir de	Gn 1:20-25
Gn	2	19	il les fit venir	Gn 2:22-23|Gn 1:26,28|Gn 6:20|Gn 9:2|Ps 8:5-9
Gn	2	21	fit tomber un profond sommeil sur l'homme	Gn 15:12|1 Sam 26:12|Jb 4:13|Jb 33:15|Pr 19:15|Dn 8:18
Gn	2	22	forma	Ps 127:1|1 Tm 2:13
Gn	2	22	l'amena vers l'homme	Gn 2:19|Pr 18:22|Pr 19:14|He 13:4
Gn	2	23	des mêmes os	Gn 29:14|Jg 9:2|2 Sam 5:1|2 Sam 19:14|Ep 5:30
Gn	2	23	femme	1 Co 11:8-9
Gn	2	23	tirée	1 Co 11:8
Gn	2	24	quittera	Gn 24:58-59|Gn 31:14-15|Ps 45:11
Gn	2	24	s'attachera	Lv 22:12-13|Dt 4:4|Dt 10:20|Jos 23:8|Ps 45:11|Pr 12:4|Pr 31:10|Ac 11:23
Gn	2	24	ils ne feront qu'un	Ml 2:14-16|Mt 19:3-9|Mc 10:6-12|Rm 7:2|1 Co 6:16-17|1 Co 7:2-4,10|1 Co 7:11|Ep 5:28-31|1 Tm 5:14|1 Pi 3:1-7
Gn	2	25	nus	Gn 3:7,10-11
Gn	2	25	honte	Ex 32:25|Ps 25:3|Ps 31:18|Es 44:9|Es 47:3|Es 54:4|Jr 6:15|Jr 17:13|Ez 16:61|Jl 2:26|Mc 8:38|Lc 9:26|Rm 10:11
