book	chapter	verse	anchor	references
Gen	2	7	a living being	Num 16:22|Num 27:16|Prov 20:27|Zech 12:1|1 Cor 15:45|Heb 12:9
Gen	2	8	a garden	Gen 13:10|Ezek 28:13|Ezek 31:8-9|Joel 2:3
Gen	2	8	in the east	Gen 3:24|Gen 4:16|2 Kgs 19:12|Ezek 27:23|Ezek 31:16, 18
Gen	2	9	every tree	Ezek 31:8-9, 16, 18
Gen	2	9	tree of life	Gen 3:22|Prov 3:18|Prov 11:30|Ezek 47:12|John 6:48|Rev 2:7|Rev 22:2, 14
Gen	2	9	tree of the knowledge of good and evil	Gen 2:17|Gen 3:3, 22|Deut 6:25|Isa 44:25|Isa 47:10|1 Cor 8:1
Gen	2	10	a river	Ps 46:4|Rev 22:1
Gen	2	11	Havilah	Gen 10:7, 29|Gen 25:18|1 Sam 15:7
Gen	2	12	And the gold of that land is pure, and bdellium	Num 11:7
Gen	2	12	onyx	Exod 28:20|Exod 39:13|Job 28:16|Ezek 28:13
Gen	2	13	Cush	Gen 10:6|Isa 11:11
Gen	2	14	Hiddekel	Dan 10:4
Gen	2	14	along the east side of	Gen 10:11, 22|Gen 25:18
Gen	2	14	Euphrates	Gen 15:18|Deut 1:7|Deut 11:24|Rev 9:14
Gen	2	15	the man	Gen 2:2|Job 31:33
Gen	2	15	placed	Gen 2:8|Ps 128:2|Eph 4:28
Gen	2	16	God	1 Sam 15:22
Gen	2	16	You may eat freely	Gen 2:9|Gen 3:1-2|1 Tim 4:4|1 Tim 6:17
Gen	2	17	from the tree of the knowledge of good and evil	Gen 2:9|Gen 3:1-3, 11, 17, 19
Gen	2	17	surely die	Gen 3:3-4, 19|Gen 20:7|Num 26:65|Deut 27:26|1 Sam 14:39, 44|1 Sam 20:31|1 Sam 22:16|1 Kgs 2:37, 42|Jer 26:8|Ezek 3:18-20|Ezek 18:4, 13, 32|Ezek 33:8, 14|Rom 1:32|Rom 5:12-21|Rom 6:16, 23|Rom 7:10-13|Rom 8:2|1 Cor 15:22, 56|Gal 3:10|Eph 2:1-6|Eph 5:14|Col 2:13|1 Tim 5:6|Jas 1:15|1 John 5:16|Rev 2:11|Rev 20:6, 14|Rev 21:8
Gen	2	18	not good	Gen 1:31|Gen 3:12|Ruth 3:1|Prov 18:22|Eccl 4:9-12|1 Cor 7:36
Gen	2	18	I will make	Gen 3:12|1 Cor 11:7-12|1 Tim 2:11-13|1 Pet 3:7
Gen	2	19	And out of the ground	Gen 1:20-25
Gen	2	19	brought	Gen 2:22-23|Gen 1:26, 28|Gen 6:20|Gen 9:2|Ps 8:4-8
Gen	2	21	So the LORD God caused the man to fall into a deep sleep, and while he slept, He took one of the man’s ribs and closed up the area with flesh.	Gen 15:12|1 Sam 26:12|Job 4:13|Job 33:15|Prov 19:15|Dan 8:18
Gen	2	22	made a woman	Ps 127:1|1 Tim 2:13
Gen	2	22	brought	Gen 2:19|Prov 18:22|Prov 19:14|Heb 13:4
Gen	2	23	bone of my bones	Gen 29:14|Judg 9:2|2 Sam 5:1|2 Sam 19:13|Eph 5:30
Gen	2	23	woman	1 Cor 11:8-9
